Arrest,Beat,Block,Case Number,Community Area,Date,Description,District,Domestic,FBI Code,ID,Iucr,Latitude,Location Description,Location,Longitude,Number of Records,Primary Type,Updated On,Ward,X Coordinate,Y Coordinate,Year
True,232,003XX E 59TH ST,HY190035,40,2015-03-18 22:45:00,DOMESTIC BATTERY SIMPLE,2,True,08B,10000126,486,41.787480544,APARTMENT,"(41.787480544, -87.618458018)",-87.618458018,1,BATTERY,10-Feb-18 3:50:01 PM,20,1179208,1865959,2015
False,2222,091XX S RACINE AVE,HY190027,73,2015-03-18 22:33:00,SIMPLE,22,False,08A,10000127,560,41.72809296,RESIDENCE,"(41.72809296, -87.653113317)",-87.653113317,1,ASSAULT,10-Feb-18 3:50:01 PM,21,1169928,1844242,2015
False,621,078XX S EMERALD AVE,HY190096,71,2015-03-19 01:20:00,SIMPLE,6,False,08B,10000129,460,41.751709641,APARTMENT,"(41.751709641, -87.642848244)",-87.642848244,1,BATTERY,10-Feb-18 3:50:01 PM,17,1172661,1852870,2015
False,613,086XX S CARPENTER ST,HY190003,71,2015-03-18 21:59:00,AGGRAVATED: HANDGUN,6,False,04B,10000130,,41.737129104,RESIDENCE PORCH/HALLWAY,"(41.737129104, -87.649727762)",-87.649727762,1,BATTERY,10-Feb-18 3:50:01 PM,21,1170826,1847542,2015
True,434,022XX E 103RD ST,HY190101,51,2015-03-19 01:28:00,TO STATE SUP LAND,4,False,26,10000131,1350,41.708029389,PARKING LOT/GARAGE(NON.RESID.),"(41.708029389, -87.569290282)",-87.569290282,1,CRIMINAL TRESPASS,10-Feb-18 3:50:01 PM,10,1192874,1837123,2015
False,824,057XX S WESTERN AVE,HY190085,63,2015-03-19 00:05:00,ARMED:KNIFE/CUTTING INSTRUMENT,8,False,03,10000133,312,41.789749112,SIDEWALK,"(41.789749112, -87.683924139)",-87.683924139,1,ROBBERY,10-Feb-18 3:50:01 PM,16,1161348,1866644,2015
True,1731,041XX W BELMONT AVE,HY190091,16,2015-03-19 00:35:00,CRIMINAL DEFACEMENT,17,False,14,10000134,1305,41.939055884,FACTORY/MANUFACTURING BUILDING,"(41.939055884, -87.730240399)",-87.730240399,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,31,1148335,1920959,2015
False,524,119XX S HALSTED ST,HY190087,53,2015-03-19 00:30:00,STRONGARM - NO WEAPON,5,False,03,10000135,320,41.67736022,CTA BUS STOP,"(41.67736022, -87.641893815)",-87.641893815,1,ROBBERY,10-Feb-18 3:50:01 PM,34,1173139,1825780,2015
True,312,064XX S EVANS AVE,HY190051,42,2015-03-18 22:45:00,TO PROPERTY,3,False,14,10000137,1310,41.777694703,APARTMENT,"(41.777694703, -87.607128049)",-87.607128049,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,20,1182328,1862419,2015
False,914,022XX S PRINCETON AVE,HY190094,34,2015-03-19 00:50:00,AGGRAVATED:KNIFE/CUTTING INSTR,9,False,04B,10000138,420,41.852683454,SIDEWALK,"(41.852683454, -87.634804012)",-87.634804012,1,BATTERY,10-Feb-18 3:50:01 PM,25,1174557,1889682,2015
True,1024,035XX W CERMAK RD,HY190098,30,2015-03-19 01:15:00,POSS: CANNABIS 30GMS OR LESS,10,False,18,10000139,1811,41.85168235,STREET,"(41.85168235, -87.713304129)",-87.713304129,1,NARCOTICS,10-Feb-18 3:50:01 PM,22,1153173,1889153,2015
False,431,095XX S MERRION AVE,HY190058,51,2015-03-18 23:35:00,NON-AGGRAVATED,4,False,02,10000142,281,41.722057171,APARTMENT,"(41.722057171, -87.569940988)",-87.569940988,1,CRIM SEXUAL ASSAULT,10-Feb-18 3:50:01 PM,7,1192651,1842233,2015
False,321,066XX S ELLIS AVE,HY190100,42,2015-03-19 02:00:00,DOMESTIC BATTERY SIMPLE,3,True,08B,10000143,486,41.774499411,RESIDENCE,"(41.774499411, -87.600928136)",-87.600928136,1,BATTERY,10-Feb-18 3:50:01 PM,5,1184029,1861269,2015
True,621,080XX S NORMAL AVE,HY190099,44,2015-03-19 01:19:00,OBSTRUCTING SERVICE,6,False,24,10000145,3760,41.748203504,SIDEWALK,"(41.748203504, -87.636663391)",-87.636663391,1,INTERFERENCE WITH PUBLIC OFFICER,10-Feb-18 3:50:01 PM,21,1174359,1851606,2015
False,624,075XX S DOBSON AVE,HY190103,69,2015-03-19 01:50:00,ARMED: HANDGUN,6,False,03,10000146,,41.757855777,STREET,"(41.757855777, -87.599288522)",-87.599288522,1,ROBBERY,10-Feb-18 3:50:01 PM,8,1184528,1855208,2015
True,421,078XX S EXCHANGE AVE,HY190102,43,2015-03-19 01:00:00,DOMESTIC BATTERY SIMPLE,4,True,08B,10000147,486,41.752762491,APARTMENT,"(41.752762491, -87.553488733)",-87.553488733,1,BATTERY,10-Feb-18 3:50:01 PM,7,1197041,1853462,2015
True,1122,001XX S SPRINGFIELD AVE,HY190122,26,2015-03-19 02:45:00,POSSESSION OF DRUG EQUIPMENT,11,False,18,10000148,2170,41.87946597,STREET,"(41.87946597, -87.72318519)",-87.72318519,1,NARCOTICS,10-Feb-18 3:50:01 PM,28,1150409,1899258,2015
False,1434,019XX N HOYNE AVE,HY190082,22,2015-03-19 00:15:00,SIMPLE,14,False,08B,10000149,460,41.917165184,RESIDENCE PORCH/HALLWAY,"(41.917165184, -87.680076699)",-87.680076699,1,BATTERY,10-Feb-18 3:50:01 PM,32,1162044,1913082,2015
False,1412,029XX N DAWSON AVE,HY190115,21,2015-03-19 02:26:00,BY FIRE,14,False,09,10000151,1020,41.934959567,VEHICLE NON-COMMERCIAL,"(41.934959567, -87.711358856)",-87.711358856,1,ARSON,10-Feb-18 3:50:01 PM,35,1153483,1919503,2015
True,413,091XX S UNIVERSITY AVE,HY189345,47,2015-03-18 12:20:00,AGG PRO.EMP: OTHER DANG WEAPON,4,False,04B,10000153,483,41.728740563,"SCHOOL, PUBLIC, BUILDING","(41.728740563, -87.596150779)",-87.596150779,1,BATTERY,10-Feb-18 3:50:01 PM,8,1185475,1844606,2015
False,312,008XX E 65TH ST,HY190125,42,2015-03-19 02:30:00,DOMESTIC BATTERY SIMPLE,3,True,08B,10000155,486,41.776797342,APARTMENT,"(41.776797342, -87.604098905)",-87.604098905,1,BATTERY,10-Feb-18 3:50:01 PM,20,1183157,1862099,2015
False,812,060XX S AUSTIN AVE,HY190061,64,2015-03-18 23:20:00,CRIMINAL DEFACEMENT,8,False,14,10000158,1305,41.782423303,RESIDENCE,"(41.782423303, -87.771668137)",-87.771668137,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,23,1137437,1863806,2015
False,2022,057XX N KENMORE AVE,HY190043,77,2015-03-18 23:00:00,AGGRAVATED: HANDGUN,20,False,04B,10000159,,41.986392486,STREET,"(41.986392486, -87.656700734)",-87.656700734,1,BATTERY,10-Feb-18 3:50:01 PM,48,1168207,1938358,2015
False,332,068XX S DANTE AVE,HY190116,43,2015-03-18 15:00:00,AGGRAVATED: OTHER DANG WEAPON,3,False,04B,10000160,430,41.771026291,STREET,"(41.771026291, -87.589574167)",-87.589574167,1,BATTERY,10-Feb-18 3:50:01 PM,5,1187137,1860030,2015
False,331,066XX S JEFFERY DR,HY190135,42,2015-03-18 04:00:00,AUTOMOBILE,3,False,07,10000161,910,41.774703033,STREET,"(41.774703033, -87.575622642)",-87.575622642,1,MOTOR VEHICLE THEFT,10-Feb-18 3:50:01 PM,5,1190931,1861403,2015
True,412,083XX S STONY ISLAND AVE,HY190083,45,2015-03-18 23:46:00,POSS: CANNABIS 30GMS OR LESS,4,False,18,10000163,1811,41.743970443,STREET,"(41.743970443, -87.585797123)",-87.585797123,1,NARCOTICS,10-Feb-18 3:50:01 PM,8,1188253,1850180,2015
False,922,031XX W 44TH ST,HY190123,58,2015-03-19 02:55:00,TO PROPERTY,9,False,14,10000164,1310,41.813610224,ALLEY,"(41.813610224, -87.702061305)",-87.702061305,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,14,1156338,1875302,2015
False,332,014XX E 70TH ST,HY190133,43,2015-03-19 03:00:00,DOMESTIC BATTERY SIMPLE,3,True,08B,10000166,486,41.767838617,RESIDENCE,"(41.767838617, -87.590182832)",-87.590182832,1,BATTERY,10-Feb-18 3:50:01 PM,5,1186981,1858867,2015
False,1524,007XX N CENTRAL AVE,HY190064,25,2015-03-12 10:00:00,SIMPLE,15,False,08A,10000169,560,41.893820645,APARTMENT,"(41.893820645, -87.765356519)",-87.765356519,1,ASSAULT,10-Feb-18 3:50:01 PM,37,1138890,1904410,2015
False,1512,002XX N MAYFIELD AVE,HY190136,25,2015-03-19 03:51:00,DOMESTIC BATTERY SIMPLE,15,True,08B,10000170,486,41.884654292,STREET,"(41.884654292, -87.771937787)",-87.771937787,1,BATTERY,10-Feb-18 3:50:01 PM,29,1137120,1901058,2015
False,1814,020XX N CLARK ST,HY190088,7,2015-03-18 14:30:00,NON-AGGRAVATED,18,False,02,10000171,281,41.919311217,OTHER,"(41.919311217, -87.636668238)",-87.636668238,1,CRIM SEXUAL ASSAULT,10-Feb-18 3:50:01 PM,43,1173852,1913957,2015
False,324,072XX S CONSTANCE AVE,HY190131,43,2015-03-19 01:30:00,FORCIBLE ENTRY,3,False,05,10000172,610,41.763922875,APARTMENT,"(41.763922875, -87.5805439)",-87.5805439,1,BURGLARY,10-Feb-18 3:50:01 PM,5,1189623,1857463,2015
True,411,075XX S DANTE AVE,HY190120,43,2015-03-19 02:35:00,AGGRAVATED:KNIFE/CUTTING INSTR,4,False,04A,10000173,520,41.757946916,APARTMENT,"(41.757946916, -87.589563944)",-87.589563944,1,ASSAULT,10-Feb-18 3:50:01 PM,5,1187181,1855264,2015
False,811,069XX W ARCHER AVE,HY190142,56,2015-03-19 04:00:00,TO PROPERTY,8,False,14,10000176,1310,41.79209768,DRUG STORE,"(41.79209768, -87.794744914)",-87.794744914,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,23,1131121,1867291,2015
True,733,009XX W 75TH ST,HY190144,68,2015-03-19 03:34:00,VEHICLE TITLE/REG OFFENSE,7,False,26,10000178,,41.758322944,VEHICLE NON-COMMERCIAL,"(41.758322944, -87.648271397)",-87.648271397,1,OTHER OFFENSE,10-Feb-18 3:50:01 PM,17,1171162,1855268,2015
True,1531,051XX W CHICAGO AVE,HY190111,25,2015-03-19 02:05:00,SIMPLE,15,False,08B,10000179,460,41.894945606,GAS STATION,"(41.894945606, -87.754874977)",-87.754874977,1,BATTERY,10-Feb-18 3:50:01 PM,37,1141741,1904839,2015
False,1623,044XX N MILWAUKEE AVE,HY190143,15,2015-03-19 04:29:00,TO PROPERTY,16,False,14,10000180,1310,41.96085819,COMMERCIAL / BUSINESS OFFICE,"(41.96085819, -87.754672619)",-87.754672619,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,45,1141634,1928858,2015
False,924,023XX W 47TH ST,HY190084,61,2015-03-18 23:35:00,AGGRAVATED VEHICULAR HIJACKING,9,False,03,10000182,326,41.808421621,STREET,"(41.808421621, -87.683023997)",-87.683023997,1,ROBBERY,10-Feb-18 3:50:01 PM,12,1161542,1873450,2015
True,2521,045XX W DEMING PL,HY190139,20,2015-03-19 03:11:00,FORCIBLE ENTRY,25,False,05,10000184,610,41.927300801,RESIDENCE-GARAGE,"(41.927300801, -87.739946037)",-87.739946037,1,BURGLARY,10-Feb-18 3:50:01 PM,31,1145724,1916657,2015
False,1112,037XX W CHICAGO AVE,HY190119,23,2015-03-19 02:31:00,AGGRAVATED: OTHER DANG WEAPON,11,False,04B,10000185,430,41.895431204,SIDEWALK,"(41.895431204, -87.71943374)",-87.71943374,1,BATTERY,10-Feb-18 3:50:01 PM,27,1151389,1905083,2015
True,1832,0000X W OAK ST,HY190093,8,2015-03-19 00:09:00,UNLAWFUL POSS OF HANDGUN,18,False,15,10000186,,41.90056412,SIDEWALK,"(41.90056412, -87.630605473)",-87.630605473,1,WEAPONS VIOLATION,10-Feb-18 3:50:01 PM,42,1175558,1907139,2015
False,732,004XX W 70TH ST,HY190076,68,2015-03-19 00:01:00,DOMESTIC BATTERY SIMPLE,7,True,08B,10000188,486,41.767160003,VEHICLE NON-COMMERCIAL,"(41.767160003, -87.635120381)",-87.635120381,1,BATTERY,10-Feb-18 3:50:01 PM,6,1174724,1858517,2015
False,1123,035XX W CARROLL AVE,HY190026,27,2015-03-18 22:30:00,OVER $500,11,True,06,10000190,810,41.887413474,OTHER,"(41.887413474, -87.714497528)",-87.714497528,1,THEFT,10-Feb-18 3:50:01 PM,28,1152754,1902171,2015
False,912,038XX S WOOD ST,HY190013,59,2015-03-18 22:15:00,BY FIRE,9,False,09,10000191,1020,41.824207682,STREET,"(41.824207682, -87.670235939)",-87.670235939,1,ARSON,10-Feb-18 3:50:01 PM,11,1164984,1879229,2015
False,1412,033XX W DIVERSEY AVE,HY190147,22,2015-03-19 04:38:00,DOMESTIC BATTERY SIMPLE,14,True,08B,10000194,486,41.931993727,APARTMENT,"(41.931993727, -87.710468903)",-87.710468903,1,BATTERY,10-Feb-18 3:50:01 PM,35,1153733,1918424,2015
False,2233,107XX S HALSTED ST,HY190106,75,2015-03-19 00:30:00,AGGRAVATED: OTHER DANG WEAPON,22,False,04B,10000196,430,41.699184632,STREET,"(41.699184632, -87.642593834)",-87.642593834,1,BATTERY,10-Feb-18 3:50:01 PM,34,1172884,1833731,2015
False,215,046XX S INDIANA AVE,HY190067,38,2015-03-18 23:20:00,AGGRAVATED: HANDGUN,2,False,04B,10000197,,41.81067058,STREET,"(41.81067058, -87.621248438)",-87.621248438,1,BATTERY,10-Feb-18 3:50:01 PM,3,1178377,1874403,2015
False,1712,039XX W LAWRENCE AVE,HY190149,14,2015-03-19 02:00:00,$500 AND UNDER,17,False,06,10000199,820,41.968249578,STREET,"(41.968249578, -87.727255053)",-87.727255053,1,THEFT,10-Feb-18 3:50:01 PM,39,1149072,1931603,2015
False,212,002XX E PERSHING RD,HY189240,35,2015-03-10 08:00:00,HARASSMENT BY TELEPHONE,2,False,26,10000200,2825,41.823798151,"SCHOOL, PUBLIC, BUILDING","(41.823798151, -87.619756522)",-87.619756522,1,OTHER OFFENSE,10-Feb-18 3:50:01 PM,3,1178744,1879190,2015
False,835,082XX S MOZART ST,HY190159,70,2015-03-18 20:00:00,$500 AND UNDER,8,False,06,10000201,820,41.743803922,STREET,"(41.743803922, -87.693687357)",-87.693687357,1,THEFT,10-Feb-18 3:50:01 PM,18,1158810,1849882,2015
False,234,052XX S CORNELL AVE,HY190090,41,2015-03-19 00:35:00,ARMED: HANDGUN,2,False,03,10000202,,41.80061868,RESIDENCE PORCH/HALLWAY,"(41.80061868, -87.585887262)",-87.585887262,1,ROBBERY,10-Feb-18 3:50:01 PM,4,1188049,1870822,2015
False,2525,020XX N PULASKI RD,HY190151,20,2015-03-19 01:00:00,TO VEHICLE,25,False,14,10000203,1320,41.918320523,STREET,"(41.918320523, -87.726596048)",-87.726596048,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,30,1149380,1913410,2015
False,122,001XX W RANDOLPH ST,HY190086,32,2015-03-18 17:00:00,SIMPLE,1,True,08A,10000204,560,41.884472382,RESIDENCE,"(41.884472382, -87.633378182)",-87.633378182,1,ASSAULT,10-Feb-18 3:50:01 PM,42,1174851,1901269,2015
False,232,057XX S INDIANA AVE,HY190141,40,2015-03-18 17:30:00,AUTOMOBILE,2,False,07,10000205,910,41.790376197,STREET,"(41.790376197, -87.620736031)",-87.620736031,1,MOTOR VEHICLE THEFT,10-Feb-18 3:50:01 PM,20,1178578,1867009,2015
False,414,077XX S OGLESBY AVE,HY189272,43,2015-03-18 12:20:00,DOMESTIC BATTERY SIMPLE,4,True,08B,10000207,486,41.754706432,RESIDENCE,"(41.754706432, -87.567505523)",-87.567505523,1,BATTERY,10-Feb-18 3:50:01 PM,7,1193210,1854136,2015
False,815,048XX S KEDVALE AVE,HY190156,57,2015-03-19 05:30:00,DOMESTIC BATTERY SIMPLE,8,True,08B,10000208,486,41.805166896,APARTMENT,"(41.805166896, -87.727180679)",-87.727180679,1,BATTERY,10-Feb-18 3:50:01 PM,14,1149512,1872176,2015
False,612,014XX W 77TH ST,HY189415,71,2015-03-17 12:00:00,OVER $500,6,False,06,10000209,810,41.754053145,RESIDENCE,"(41.754053145, -87.659465414)",-87.659465414,1,THEFT,10-Feb-18 3:50:01 PM,17,1168120,1853688,2015
False,1433,017XX N ASHLAND AVE,HY189397,24,2015-03-18 13:45:00,SIMPLE,14,False,08A,10000211,560,41.913233349,OTHER,"(41.913233349, -87.66776484)",-87.66776484,1,ASSAULT,10-Feb-18 3:50:01 PM,32,1165406,1911675,2015
False,612,015XX W 80TH ST,HY189315,71,2015-03-18 12:50:00,DOMESTIC BATTERY SIMPLE,6,True,08B,10000212,486,41.748560656,APARTMENT,"(41.748560656, -87.661615335)",-87.661615335,1,BATTERY,10-Feb-18 3:50:01 PM,21,1167549,1851682,2015
True,423,085XX S KINGSTON AVE,JB141391,46,2018-02-04 22:49:00,AGG PO HANDS NO/MIN INJURY,4,False,08B,11223130,454,41.740163232,RESIDENCE,"(41.740163232, -87.562409376)",-87.562409376,1,BATTERY,11-Feb-18 3:57:41 PM,7,1194648,1848849,2018
False,1413,033XX W FULLERTON AVE,HY189182,22,2015-03-17 19:30:00,OVER $500,14,False,06,10000216,810,41.924669446,SIDEWALK,"(41.924669446, -87.711491883)",-87.711491883,1,THEFT,10-Feb-18 3:50:01 PM,35,1153474,1915753,2015
False,123,009XX S WABASH AVE,HY190166,32,2015-03-18 19:00:00,OVER $500,1,False,06,10000219,810,41.870389764,PARKING LOT/GARAGE(NON.RESID.),"(41.870389764, -87.625902397)",-87.625902397,1,THEFT,10-Feb-18 3:50:01 PM,2,1176929,1896154,2015
False,823,036XX W 60TH PL,HY190152,65,2015-03-19 05:00:00,AUTOMOBILE,8,False,07,10000220,910,41.783347308,STREET,"(41.783347308, -87.713852929)",-87.713852929,1,MOTOR VEHICLE THEFT,10-Feb-18 3:50:01 PM,13,1153203,1864251,2015
False,911,035XX S WASHTENAW AVE,HY190155,58,2015-03-19 04:52:00,HOME INVASION,9,False,05,10000227,650,41.828894171,APARTMENT,"(41.828894171, -87.692345655)",-87.692345655,1,BURGLARY,10-Feb-18 3:50:01 PM,12,1158945,1880891,2015
False,1115,042XX W MADISON ST,HY189165,26,2015-03-18 10:45:00,SIMPLE,11,False,08B,10000233,460,41.88065283,SMALL RETAIL STORE,"(41.88065283, -87.731763004)",-87.731763004,1,BATTERY,10-Feb-18 3:50:01 PM,28,1148070,1899674,2015
False,1123,033XX W MAYPOLE AVE,HY190158,27,2015-03-19 05:50:00,$500 AND UNDER,11,False,06,10000234,820,41.883578698,NURSING HOME/RETIREMENT HOME,"(41.883578698, -87.709734846)",-87.709734846,1,THEFT,10-Feb-18 3:50:01 PM,28,1154061,1900783,2015
False,1131,044XX W CONGRESS PKWY,HY189270,26,2015-03-11 00:01:00,FORCIBLE ENTRY,11,False,05,10000239,610,41.874223242,VACANT LOT/LAND,"(41.874223242, -87.736005434)",-87.736005434,1,BURGLARY,10-Feb-18 3:50:01 PM,24,1146931,1897323,2015
False,2535,014XX N HARDING AVE,HY188049,23,2015-03-15 20:45:00,TO VEHICLE,25,False,14,10000241,1320,41.90686701,STREET,"(41.90686701, -87.725213018)",-87.725213018,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,30,1149786,1909239,2015
False,624,078XX S COTTAGE GROVE AVE,HY190157,69,2015-03-19 05:20:00,$500 AND UNDER,6,False,06,10000257,820,41.75216896,RESTAURANT,"(41.75216896, -87.605227966)",-87.605227966,1,THEFT,10-Feb-18 3:50:01 PM,6,1182925,1853122,2015
False,421,078XX S BURNHAM AVE,HY189245,43,2015-03-13 15:00:00,TELEPHONE THREAT,4,False,26,10000258,2820,41.752843891,RESIDENCE,"(41.752843891, -87.556998643)",-87.556998643,1,OTHER OFFENSE,10-Feb-18 3:50:01 PM,7,1196083,1853483,2015
